                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      9.5156784879724952E+001      3.3304874707903728E+001      1.0000000000000000E+001                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20210304" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
                              10          2.9388893869223665E+001          1.0000026943365874E+001          9.8532282151422848E+001          1.2929300242328779E+002          3.6940801845222751E+002          1.3249631776694562E+001          8.2680343656920083E+000          4.6481534733431900E+001          2.8841224706585066E+001         -7.1494848755145024E-001         -7.1332582267894329E-001          9.5156619276966353E+001          3.3304867225993199E+001         -9.8999999999999986E+001         -5.2491514855857382E+000         -6.5941629948223852E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491514855857382E+000         -6.5941629948223852E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782929753248832E+055          1.0358368297944244E+053          1.3456605104863274E+052          1.6899970041333138E+055         -1.1178035805670722E+040          0.0000000000000000E+000         -1.9107849890484269E+036         -1.1175236549912888E+040         -8.8847076878661437E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8944651821617713E-001          6.4396708746586571E+000          6.7656473824835937E+000          1.0009300274557680E+000          1.0001018863060915E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.6852517329334578E+013          1.2592899259214956E+016          1.8397504522696194E+014          5.5580465315449950E+015 
                              11          3.6398813856648651E+001          1.0000033369128614E+001          9.8532313806662515E+001          1.2929299550002222E+002          3.6940786513954566E+002          1.3250263406526049E+001          8.2679701933136975E+000          4.6481546506313663E+001          2.8841236703549466E+001         -7.1493497091956171E-001         -7.1332816694728751E-001          9.5156579781102536E+001          3.3304865441313886E+001         -9.8999999999999986E+001         -5.2491614441954857E+000         -6.5941528715374229E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491614441954857E+000         -6.5941528715374229E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782927280432081E+055          1.0358335905190512E+053          1.3456599398385002E+052          1.6899967238882370E+055         -1.1178083188864531E+040          0.0000000000000000E+000         -1.9107811986169089E+036         -1.1175123348236348E+040         -1.0490594295674209E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8942039649698466E-001          6.4342169691512261E+000          6.7665940709350343E+000          1.0010308499089691E+000          1.0000837617885272E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5768636314023406E+013          1.2671397704214580E+016          1.8437651709290556E+014          5.5576217111141940E+015 
                              12          4.4810717841558635E+001          1.0000041079859686E+001          9.8532351791930921E+001          1.2929298719206395E+002          3.6940768116866730E+002          1.3250724738841136E+001          8.2678782980666004E+000          4.6481560633391709E+001          2.8841251099521564E+001         -7.1492513249819767E-001         -7.1333149628159676E-001          9.5156532386994186E+001          3.3304863299622134E+001         -9.8999999999999986E+001         -5.2491699499040951E+000         -6.5941373430652082E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491699499040951E+000         -6.5941373430652082E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782924313031278E+055          1.0358297038230470E+053          1.3456592549812795E+052          1.6899963875963396E+055         -1.1178161171266731E+040          0.0000000000000000E+000         -1.9107766502170943E+036         -1.1175075704363557E+040         -1.1746902529590775E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8939689487273796E-001          6.4340766919685377E+000          6.7704169159336161E+000          1.0011134236544119E+000          1.0000600290119011E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5740937505250969E+013          1.2696643965637114E+016          1.8600664172364094E+014          5.5571777494742770E+015 
                              13          5.4905002623450613E+001          1.0000050332608524E+001          9.8532397373523267E+001          1.2929297722218021E+002          3.6940746040705045E+002          1.3250926047943244E+001          8.2677465731922073E+000          4.6481577585638291E+001          2.8841268374390715E+001         -7.1492090552370868E-001         -7.1333623522142109E-001          9.5156475514799652E+001          3.3304860729453551E+001         -9.8999999999999986E+001         -5.2491755661873114E+000         -6.5941139431930571E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491755661873114E+000         -6.5941139431930571E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782920752104214E+055          1.0358250401834854E+053          1.3456584330105702E+052          1.6899959840452668E+055         -1.1178305883845652E+040          0.0000000000000000E+000         -1.9107711922439886E+036         -1.1175137877441087E+040         -1.2572352123208540E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8937976881317036E-001          6.4307124356543808E+000          6.7680237111926376E+000          1.0011477429940052E+000          1.0000296545680187E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5079312439053312E+013          1.2719013189188330E+016          1.8498446039884675E+014          5.5567347550938400E+015 
                              14          6.7018144361720985E+001          1.0000061435975761E+001          9.8532452071763842E+001          1.2929296525731510E+002          3.6940719549292504E+002          1.3250525862716897E+001          8.2675578733807935E+000          4.6481597928543600E+001          2.8841289104284026E+001         -7.1492963983107893E-001         -7.1334298396000806E-001          9.5156407268156215E+001          3.3304857645005669E+001         -9.8999999999999986E+001         -5.2491755025724052E+000         -6.5940793632132690E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491755025724052E+000         -6.5940793632132690E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782916478903952E+055          1.0358194437886066E+053          1.3456574464053718E+052          1.6899954997746864E+055         -1.1178535526359175E+040          0.0000000000000000E+000         -1.9107646427300710E+036         -1.1175385455905251E+040         -1.2393058111941152E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8937237020866264E-001          6.4281470366846039E+000          6.7694333243764744E+000          1.0010889441405961E+000          9.9998051863771986E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.4578226163139094E+013          1.2786425789766710E+016          1.8558584996077144E+014          5.5563283688663200E+015 
                              15          8.1553914447645440E+001          1.0000074760438661E+001          9.8532517711956430E+001          1.2929295089711178E+002          3.6940687758975616E+002          1.3249185024729636E+001          8.2672872974077656E+000          4.6481622341115603E+001          2.8841313980831899E+001         -7.1495863617888422E-001         -7.1335261275189288E-001          9.5156325371091924E+001          3.3304853943237326E+001         -9.8999999999999986E+001         -5.2491697108312545E+000         -6.5940288084104770E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491697108312545E+000         -6.5940288084104770E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782911350939426E+055          1.0358127271687266E+053          1.3456562620567377E+052          1.6899949186276868E+055         -1.1178806303800678E+040          0.0000000000000000E+000         -1.9107567832380727E+036         -1.1175852839740490E+040         -1.0427072769511552E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8938745049561383E-001          6.4284675141208591E+000          6.7707600465329500E+000          1.0008727016517875E+000          9.9989980742997264E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.4640661716838984E+013          1.2854723519958288E+016          1.8615366129964662E+014          5.5560093872983030E+015 
                              16          9.8996838550754774E+001          1.0000090750916394E+001          9.8532596486402213E+001          1.2929293366000925E+002          3.6940649608746895E+002          1.3246444516544335E+001          8.2668992422261969E+000          4.6481651639004660E+001          2.8841343834620695E+001         -7.1501777476795381E-001         -7.1336636428491440E-001          9.5156227091289523E+001          3.3304849500366487E+001         -9.8999999999999986E+001         -5.2491550164469967E+000         -6.5939556028348170E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491550164469967E+000         -6.5939556028348170E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782905197198956E+055          1.0358046643609278E+053          1.3456548401017927E+052          1.6899942212036067E+055         -1.1179138822716528E+040          0.0000000000000000E+000         -1.9107473515270915E+036         -1.1176646321243348E+040         -5.8175412165209508E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8943768120384501E-001          6.4317885765301996E+000          6.7733298844172340E+000          1.0004175198892853E+000          9.9977347721368504E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.5290392382720031E+013          1.2915836989056838E+016          1.8725844828829147E+014          5.5558200271101350E+015 
                              17          1.1992834747448597E+002          1.0000109941774323E+001          9.8532691028510030E+001          1.2929291296627750E+002          3.6940603824632905E+002          1.3241679597211474E+001          8.2663464492735059E+000          4.6481686802182061E+001          2.8841379663179204E+001         -7.1512050211160050E-001         -7.1338588702027772E-001          9.5156109148727708E+001          3.3304844167631344E+001         -9.8999999999999986E+001         -5.2491299803943248E+000         -6.5938505227252291E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2491299803943248E+000         -6.5938505227252291E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782897812456277E+055          1.0357949826695953E+053          1.3456531324756436E+052          1.6899933842047992E+055         -1.1179523518552369E+040          0.0000000000000000E+000         -1.9107360327015089E+036         -1.1177857366386759E+040          2.4458386709128294E+035          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8954022836789246E-001          6.4376024020899605E+000          6.7752196684801502E+000          9.9961975828221394E-001          9.9959706039452267E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.6439836742668031E+013          1.3015364059828298E+016          1.8807505797224728E+014          5.6014684427101330E+015 
                              18          1.4504615818296341E+002          1.0000132974947370E+001          9.8532804502406279E+001          1.2929288811718604E+002          3.6940548876762972E+002          1.3234115392830894E+001          8.2655615946943026E+000          4.6481729008458828E+001          2.8841422664773866E+001         -7.1528349579202344E-001         -7.1341352710767503E-001          9.5155967605730012E+001          3.3304837766147223E+001         -9.8999999999999986E+001         -5.2490933940724549E+000         -6.5937011105724110E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490933940724549E+000         -6.5937011105724110E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782888950434901E+055          1.0357833524242814E+053          1.3456510811820670E+052          1.6899923796489152E+055         -1.1179940036296506E+040          0.0000000000000000E+000         -1.9107224486036251E+036         -1.1179595739821264E+040          1.5664259733619041E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.8971849405323431E-001          6.4421425300044959E+000          6.7796012395769711E+000          9.9835397611732590E-001          9.9934492328864566E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.7348221330592375E+013          1.3225604566689680E+016          1.8998214004474272E+014          5.5999935100176750E+015 
                              19          1.7518753103313634E+002          1.0000160621601495E+001          9.8532940709979371E+001          1.2929285826975845E+002          3.6940482928064381E+002          1.3222770696416303E+001          8.2644505650639637E+000          4.6481779673545084E+001          2.8841474278762643E+001         -7.1552787373281268E-001         -7.1345256191881035E-001          9.5155797735456559E+001          3.3304830080630566E+001         -9.8999999999999986E+001         -5.2490456433159070E+000         -6.5934899611897819E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2490456433159070E+000         -6.5934899611897819E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          1.6782878315565813E+055          1.0357693749034677E+053          1.3456486159850691E+052          1.6899911739216010E+055         -1.1180406219008837E+040          0.0000000000000000E+000         -1.9107061450406675E+036         -1.1181975883022096E+040          3.4803701583008744E+036          0.0000000000000000E+000          0.0000000000000000E+000                                1          9.9000159067634852E-001          6.4547097982176966E+000          6.7823302963625762E+000          9.9646402591033334E-001          9.9898671493092395E-001                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          8.9912761022573094E+013          1.3408342143436160E+016          1.9117972485672800E+014          5.5997812741191940E+015 
