                           1                            2                            3                            4                            5                            6                            7                            8 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days                     compiler                        build             MESA_SDK_version                         date 
                       11701      9.5156784879724952E+001      3.3304874707903728E+001      1.0000000000000000E+002                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20210304" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                      lg_mdot_edd                     mdot_edd_eta          lg_accretion_luminosity                          bh_spin                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                   accretion_mode                acc_am_div_kep_am                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index                      trap_radius                       acc_radius                     t_sync_rad_1                    t_sync_conv_1                     t_sync_rad_2                    t_sync_conv_2 
                              10          2.9388893869223665E+001          1.0000025849826582E+002          4.5734631560843485E+002          6.0012495966139269E+001          1.7146402568627946E+002          1.3233831552036733E+001          8.2646636702828964E+000          2.1574816349886098E+002          1.3386909690752483E+002         -9.3866074529943055E-001         -9.3826309535805696E-001          9.5156626136048061E+001          3.3304867416267406E+001         -9.8999999999999986E+001         -5.2675324904969631E+000         -6.6053614748594685E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675324904969631E+000         -6.6053614748594685E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157726894281367E+055          1.0342044535435068E+052          1.3454368164645232E+051          3.6169414375633262E+055         -2.3182289205782198E+040          0.0000000000000000E+000         -8.8690811614467525E+033         -2.3182280337058700E+040          3.5766470772001840E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2109904803532235E+001          1.2247452877019439E+001          1.0400653863216067E+000          1.0387589854529540E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.0645862102246883E+019          1.2725207942002395E+020          8.5415973577956213E+019          5.5791034313459245E+019 
                              11          3.6398813856648651E+001          1.0000032014791496E+002          4.5734645658423051E+002          6.0012492832173372E+001          1.7146395746822208E+002          1.3234642630145633E+001          8.2645996777201667E+000          2.1574821597742263E+002          1.3386915029392219E+002         -9.3865700084615955E-001         -9.3826359800167203E-001          9.5156588277369494E+001          3.3304865677021759E+001         -9.8999999999999986E+001         -5.2675476097445006E+000         -6.6053521348021391E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675476097445006E+000         -6.6053521348021391E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157721765990987E+055          1.0342014755164033E+052          1.3454362822269483E+051          3.6169409217028383E+055         -2.3181845743280189E+040          0.0000000000000000E+000         -8.8690642743346752E+033         -2.3181836874389109E+040          1.7319370142395592E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2105160850755478E+001          1.2247420641027706E+001          1.0417059767400285E+000          1.0382957675990043E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.0204289043746996E+019          1.2731060437757292E+020          8.6348542573907722E+019          5.5786893315471786E+019 
                              12          4.4810717841558635E+001          1.0000039412594499E+002          4.5734662575158461E+002          6.0012489071275809E+001          1.7146387560857096E+002          1.3235320119664504E+001          8.2645078610071199E+000          2.1574827895054918E+002          1.3386921435606942E+002         -9.3865387856605742E-001         -9.3826431341394956E-001          9.5156542848074366E+001          3.3304863589849930E+001         -9.8999999999999986E+001         -5.2675583085460325E+000         -6.6053361021659320E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675583085460325E+000         -6.6053361021659320E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157715612088432E+055          1.0341979071651742E+052          1.3454356408435559E+051          3.6169403026800924E+055         -2.3181672834366869E+040          0.0000000000000000E+000         -8.8690440103700787E+033         -2.3181663965516182E+040          1.9332020293741041E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2101954040171863E+001          1.2247386119948677E+001          1.0430110034414701E+000          1.0395979661867674E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9908515745075847E+019          1.2795051524576277E+020          8.5689744963298984E+019          5.5782459118641144E+019 
                              13          5.4905002623450613E+001          1.0000048289853845E+002          4.5734682874994110E+002          6.0012484557972385E+001          1.7146377737854709E+002          1.3235687829881410E+001          8.2643761440589447E+000          2.1574835451762956E+002          1.3386929122949854E+002         -9.3865219570515956E-001         -9.3826533278725632E-001          9.5156488333783855E+001          3.3304861085117849E+001         -9.8999999999999986E+001         -5.2675651886901358E+000         -6.6053142742204010E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675651886901358E+000         -6.6053142742204010E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157708227385769E+055          1.0341936301349193E+052          1.3454348721263431E+051          3.6169395598559242E+055         -2.3181734353358852E+040          0.0000000000000000E+000         -8.8690196940620479E+033         -2.3181725484271027E+040         -6.8128819734798072E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2098534613933174E+001          1.2247350918255746E+001          1.0424741352655884E+000          1.0401305564024863E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9595529023308603E+019          1.2867361090024674E+020          8.5794669093584191E+019          5.5777937860601545E+019 
                              14          6.7018144361720985E+001          1.0000058942622785E+002          4.5734707234916738E+002          6.0012479141586113E+001          1.7146365950245175E+002          1.3235565014781638E+001          8.2641873342195247E+000          2.1574844519891971E+002          1.3386938347776831E+002         -9.3865279074165064E-001         -9.3826678573154132E-001          9.5156422916597151E+001          3.3304858079204699E+001         -9.8999999999999986E+001         -5.2675649358797250E+000         -6.6052803701608527E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675649358797250E+000         -6.6052803701608527E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157699365545162E+055          1.0341884947720927E+052          1.3454339500945059E+051          3.6169386684442977E+055         -2.3182250772898470E+040          0.0000000000000000E+000         -8.8689905146820563E+033         -2.3182241903964483E+040          5.6529052028258847E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2098552277949096E+001          1.2247317765785946E+001          1.0407787906699266E+000          1.0374341711162001E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9597139521042498E+019          1.2861203774532190E+020          8.6086441254653149E+019          5.5773680137099370E+019 
                              15          8.1553914447645440E+001          1.0000071726286929E+002          4.5734736467587118E+002          6.0012472641123587E+001          1.7146351804824312E+002          1.3234544364810821E+001          8.2639171257076995E+000          2.1574855401986426E+002          1.3386949417810467E+002         -9.3865755242284354E-001         -9.3826885522766601E-001          9.5156344414365364E+001          3.3304854471664960E+001         -9.8999999999999986E+001         -5.2675560412905291E+000         -6.6052269218622941E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675560412905291E+000         -6.6052269218622941E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157688730813894E+055          1.0341823222937896E+052          1.3454328406957601E+051          3.6169375986877525E+055         -2.3183389892941214E+040          0.0000000000000000E+000         -8.8689554990014725E+033         -2.3183381023828378E+040         -1.5733634835860432E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2096703549518995E+001          1.2247291116945405E+001          1.0363833514263785E+000          1.0357403126894233E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9428938516128276E+019          1.2961355571997334E+020          8.6349806251255382E+019          5.5770257900873687E+019 
                              16          9.8996838550754774E+001          1.0000087067533777E+002          4.5734771548709784E+002          6.0012464839228002E+001          1.7146334829506884E+002          1.3232105173508657E+001          8.2635303357593521E+000          2.1574868461294477E+002          1.3386962702507842E+002         -9.3866889526002362E-001         -9.3827180579048519E-001          9.5156250207176427E+001          3.3304850141872507E+001         -9.8999999999999986E+001         -5.2675352460378342E+000         -6.6051522117388908E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675352460378342E+000         -6.6051522117388908E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157675968082782E+055          1.0341748847065364E+052          1.3454315070941167E+051          3.6169363148436940E+055         -2.3185303888220742E+040          0.0000000000000000E+000         -8.8689134786651679E+033         -2.3185295018813282E+040         -4.9398109465098757E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2097294480913922E+001          1.2247277318136398E+001          1.0301503115329691E+000          1.0327821729103872E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9482624799208538E+019          1.3057845689542946E+020          8.6940284071405781E+019          5.5768485944416281E+019 
                              17          1.1992834747448597E+002          1.0000105478556085E+002          4.5734813649510420E+002          6.0012455474634663E+001          1.7146314457645121E+002          1.3227723779446979E+001          8.2629770084812559E+000          2.1574884133887250E+002          1.3386978645334031E+002         -9.3868924765778716E-001         -9.3827601262842619E-001          9.5156137150328263E+001          3.3304844944833661E+001         -9.8999999999999986E+001         -5.2675036632401202E+000         -6.6050445741169490E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2675036632401202E+000         -6.6050445741169490E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157660650945010E+055          1.0341659082701159E+052          1.3454299019364590E+051          3.6169347739929645E+055         -2.3188120343095198E+040          0.0000000000000000E+000         -8.8688630510118655E+033         -2.3188111473984350E+040         -2.4779432642122692E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2102133703283382E+001          1.2250908790166825E+001          1.0241609943762044E+000          1.0302995886276327E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          3.9925028898508874E+019          1.3119374921488663E+020          8.7161385593287918E+019          5.6236764475678933E+019 
                              18          1.4504615818296341E+002          1.0000127574170588E+002          4.5734864175878971E+002          6.0012444233213735E+001          1.7146290009115540E+002          1.3220568248991103E+001          8.2621912823267358E+000          2.1574902943252931E+002          1.3386997778565424E+002         -9.3872246710094454E-001         -9.3828197016992321E-001          9.5156001469366771E+001          3.3304838706216103E+001         -9.8999999999999986E+001         -5.2674628706769733E+000         -6.6048934197016207E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674628706769733E+000         -6.6048934197016207E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157642267357088E+055          1.0341550797286235E+052          1.3454279706877939E+051          3.6169329246125064E+055         -2.3191933516367996E+040          0.0000000000000000E+000         -8.8688025322751390E+033         -2.3191924647651219E+040          8.5756348356479144E+028          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2108601299058742E+001          1.2250833973008520E+001          1.0175632058947757E+000          1.0259621691928131E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.0524049291361952E+019          1.3273685578163919E+020          8.7885745627742044E+019          5.6227077241118990E+019 
                              19          1.7518753103313634E+002          1.0000154092477939E+002          4.5734924815609367E+002          6.0012430736847918E+001          1.7146260667525473E+002          1.3209615529387740E+001          8.2610789061380938E+000          2.1574925517938127E+002          1.3387020741130488E+002         -9.3877329718517533E-001         -9.3829038539727783E-001          9.5155838633589511E+001          3.3304831216176211E+001         -9.8999999999999986E+001         -5.2674131977708933E+000         -6.6046788987151821E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -5.2674131977708933E+000         -6.6046788987151821E+000          1.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000         -9.8999999999999986E+001          0.0000000000000000E+000          3.6157620202211678E+055          1.0341420139032353E+052          1.3454256426883861E+051          3.6169307047993402E+055         -2.3197021697252519E+040          0.0000000000000000E+000         -8.8687299011374465E+033         -2.3197012829022576E+040          4.9995827440429930E+029          0.0000000000000000E+000          0.0000000000000000E+000                                2          1.0000000000000000E+000          1.2118925993454626E+001          1.2250751323491610E+001          1.0093164732263800E+000          1.0208645971639865E+000                                2                                0          0.0000000000000000E+000          0.0000000000000000E+000          4.1498990222232920E+019          1.3491443761715582E+020          8.8760808049402937E+019          5.6216377822176502E+019 
